name,id,lat,lon,capacity,number,geometry,index_right,FID,lsoa11cd,lsoa11nm,IMDRank,IMDDecil,Shape__Are,Shape__Len,LSOA Code,LSOA Name,Mid-2020 population,Area Sq Km,People per Sq Km
"Hampstead Road, Euston",98,51.52554222,-0.138231303,54,48.0,POINT (-0.138231303 51.52554222),928,929,E01000946,Camden 021B,19148,6,1246083.88861847,9000.03984715975,E01000946,Camden 021B,2339,0.49,4780
"Old Quebec Street, Marylebone",99,51.51457763,-0.158264483,16,90.0,POINT (-0.158264483 51.51457763),5326,5327,E01004657,Westminster 012A,22741,7,318677.971740723,3390.47402734385,E01004657,Westminster 012A,1720,0.12,13849
"Albert Embankment, Vauxhall",100,51.49043573,-0.122806861,24,53.0,POINT (-0.122806861 51.49043573),3831,3832,E01003109,Lambeth 003E,9248,3,679402.764007568,4522.04276189039,E01003109,Lambeth 003E,3087,0.27,11597
"Queen Street 1, Bank",101,51.51155322,-0.0929401,22,31.0,POINT (-0.0929401 51.51155322),32592,32593,E01032739,City of London 001F,20391,7,4277196.94448853,11949.5288116141,E01032739,City of London 001F,1688,1.65,1021
"Jewry Street, Aldgate",102,51.51340693,-0.076793375,17,23.0,POINT (-0.076793375 51.51340693),32592,32593,E01032739,City of London 001F,20391,7,4277196.94448853,11949.5288116141,E01032739,City of London 001F,1688,1.65,1021
"Vicarage Gate, Kensington",103,51.50472376,-0.192538767,18,31.0,POINT (-0.192538767 51.50472376),1764,1765,E01002824,Kensington and Chelsea 008A,24462,8,388900.111602783,5123.05095102476,E01002824,Kensington and Chelsea 008A,1330,0.15,8796
"Crosswall, Tower",104,51.51159481,-0.077121322,34,67.0,POINT (-0.07712132200000001 51.51159481),32592,32593,E01032739,City of London 001F,20391,7,4277196.94448853,11949.5288116141,E01032739,City of London 001F,1688,1.65,1021
"Westbourne Grove, Bayswater",105,51.51552971,-0.190240716,26,34.0,POINT (-0.190240716 51.51552971),5363,5364,E01004699,Westminster 017F,19200,6,301117.950241089,2754.75842085495,E01004699,Westminster 017F,2572,0.12,22058
"Woodstock Street, Mayfair",106,51.51410514,-0.147301667,21,26.0,POINT (-0.147301667 51.51410514),31671,31672,E01033595,Westminster 013E,16446,6,1329157.0711441,10920.308563619,E01033595,Westminster 013E,1508,0.51,2938
"Finsbury Leisure Centre, St. Luke's",107,51.52600832,-0.096317627,20,32.0,POINT (-0.096317627 51.52600832),1649,1650,E01002706,Islington 023E,10815,4,354844.96812439,3255.52986800605,E01002706,Islington 023E,2605,0.14,19126
"Abbey Orchard Street, Westminster",108,51.49812559,-0.132102166,29,35.0,POINT (-0.132102166 51.49812559),5395,5396,E01004732,Westminster 020B,3324,2,178183.588172913,2232.09285418545,E01004732,Westminster 020B,1742,0.07,24957
"Soho Square , Soho",109,51.51563144,-0.132328837,57,114.0,POINT (-0.132328837 51.51563144),5424,5425,E01004763,Westminster 013B,11768,4,759310.434432983,7071.01922320993,E01004763,Westminster 013B,3030,0.29,10317
"Wellington Road, St. John's Wood",110,51.53304322,-0.172528678,17,24.0,POINT (-0.172528678 51.53304322),5389,5390,E01004726,Westminster 003C,25261,8,488461.517021179,4123.53521857428,E01004726,Westminster 003C,2306,0.19,12418
"Park Lane , Hyde Park",111,51.5100172,-0.157275636,28,650.0,POINT (-0.157275636 51.5100172),5353,5354,E01004689,Westminster 019C,17986,6,4957465.90625,12198.3965535383,E01004689,Westminster 019C,1715,1.92,891
"Stonecutter Street, Holborn",112,51.51580998,-0.105270275,21,13.0,POINT (-0.105270275 51.51580998),32593,32594,E01032740,City of London 001G,18089,6,1648997.79118347,6600.51920623275,E01032740,City of London 001G,1742,0.64,2733
"Gloucester Road (Central), South Kensington",113,51.49646288,-0.183289032,19,33.0,POINT (-0.183289032 51.49646288),1827,1828,E01002887,Kensington and Chelsea 010A,21530,7,190143.493843079,3287.05955531718,E01002887,Kensington and Chelsea 010A,1504,0.08,19558
"Park Road (Baker Street), The Regent's Park",114,51.52451738,-0.158963647,22,184.0,POINT (-0.158963647 51.52451738),5390,5391,E01004727,Westminster 008D,24363,8,2920325.78225708,9345.10099580739,E01004727,Westminster 008D,3862,1.13,3413
"Braham Street, Aldgate",115,51.51423368,-0.073537654,34,43.0,POINT (-0.07353765399999999 51.51423368),32613,32614,E01032767,Tower Hamlets 021F,22328,7,344689.756961823,2911.17079266679,E01032767,Tower Hamlets 021F,3206,0.13,23872
"Little Argyll Street, West End",116,51.51449962,-0.141423695,21,123.0,POINT (-0.141423695 51.51449962),31671,31672,E01033595,Westminster 013E,16446,6,1329157.0711441,10920.308563619,E01033595,Westminster 013E,1508,0.51,2938
"Lollard Street, Vauxhall",117,51.49288067,-0.114934001,25,48.0,POINT (-0.114934001 51.49288067),3834,3835,E01003112,Lambeth 002E,8065,3,378903.642913818,3478.3210631495,E01003112,Lambeth 002E,1849,0.15,12443
"Rochester Row, Westminster",118,51.49582705,-0.13547809,13,28.0,POINT (-0.13547809 51.49582705),5407,5408,E01004744,Westminster 020D,10482,4,275447.195533752,3231.85200917921,E01004744,Westminster 020D,1628,0.11,15046
"Bath Street, St. Luke's",119,51.52589324,-0.090847761,18,40.0,POINT (-0.090847761 51.52589324),1648,1649,E01002704,Islington 023D,12549,4,859190.52620697,4856.38792350764,E01002704,Islington 023D,2669,0.34,7965
"The Guildhall, Guildhall",120,51.51573534,-0.093080779,17,8.0,POINT (-0.093080779 51.51573534),1,2,E01000002,City of London 001B,30379,10,583453.103057861,3910.31435668285,E01000002,City of London 001B,1678,0.23,7347
