name,id,lat,lon,number,min_rail,min_rail_distance,min_park,min_park_distance,min_pier,min_pier_distance,population_density
"Kennington Oval, Oval",440,51.483145,-0.113134,48.0,Vauxhall_diatance,742.0,Geraldine Mary Harmsworth Park West_diatance,1392.0,St. George Wharf_diatance,1040.0,13236.0
"Sail Street, Vauxhall",441,51.495656,-0.114605,39.0,Waterloo_diatance,833.0,Geraldine Mary Harmsworth Park West_diatance,267.0,Millbank Millennium Pier_diatance,821.0,17675.0
"Walmer Road, Avondale",442,51.510101,-0.211358,24.0,Paddington_diatance,2508.0,Holland Park Abbotsbury Gate_diatance,1119.0,Cadogan Pier_diatance,4347.0,13760.0
"Philpot Street, Whitechapel",443,51.515256,-0.058641,48.0,Fenchurch Street_diatance,1426.0,Mile End Park Football Pitch_diatance,1694.0,Tower Bridge Quay_diatance,1458.0,24194.0
"Bethnal Green Garden, Bethnal Green",444,51.52568,-0.055312,40.0,Liverpool Street_diatance,2005.0,Victoria Park Bonner Gate_diatance,1000.0,Tower Bridge Quay_diatance,2528.0,31093.0
"Cheshire Street, Bethnal Green",445,51.52388,-0.065076,27.0,Liverpool Street_diatance,1309.0,Victoria Park Bonner Gate_diatance,1566.0,Tower Bridge Quay_diatance,2075.0,14523.0
"York Hall, Bethnal Green",446,51.528936,-0.055894,36.0,Liverpool Street_diatance,2141.0,Victoria Park Bonner Gate_diatance,720.0,Tower Bridge Quay_diatance,2830.0,18194.0
"Jubilee Crescent, Cubitt Town",447,51.493381,-0.007542,32.0,Fenchurch Street_diatance,5292.0,Mile End Park Pavilion_diatance,2961.0,Greenwich Pier_diatance,1044.0,22503.0
"Fisherman's Walk West, Canary Wharf",448,51.50623,-0.02296,130.0,Fenchurch Street_diatance,3873.0,Mile End Park Pavilion_diatance,1203.0,Canary Wharf Pier_diatance,418.0,4318.0
"Shadwell Station, Shadwell",449,51.511088,-0.057159,57.0,Fenchurch Street_diatance,1463.0,Mile End Park Football Pitch_diatance,1756.0,Tower Bridge Quay_diatance,1267.0,16614.0
